Source,Target,Interaction,Correlation,P_value,Abs_Correlation
g__Anaerobutyricum,g__Faecalimonas,negative,-0.3332,0.001,0.3332
g__Anaerobutyricum,g__Fusicatenibacter,positive,0.4553,0.001,0.4553
g__Anaerobutyricum,g__Gemmiger,positive,0.3757,0.001,0.3757
g__Anaerobutyricum,g__Hominilimicola,positive,0.3201,0.001,0.3201
g__Anaerobutyricum,g__Lacticaseibacillus,negative,-0.4174,0.001,0.4174
g__Anaerobutyricum,g__Limosilactobacillus,negative,-0.3089,0.001,0.3089
g__Anaerobutyricum,g__Mediterraneibacter,positive,0.4009,0.001,0.4009
g__Anaerobutyricum,g__Nanosynbacter,negative,-0.3559,0.001,0.3559
g__Anaerobutyricum,g__Pediococcus,negative,-0.3228,0.001,0.3228
g__Anaerobutyricum,g__Ruminococcus_B,negative,-0.3479,0.001,0.3479
g__Anaerobutyricum,g__Thomasclavelia,negative,-0.3537,0.001,0.3537
g__Anaerobutyricum,g__Veillonella,negative,-0.4246,0.001,0.4246
g__Anaerostipes,g__Blautia_A,positive,0.3208,0.001,0.3208
g__Anaerotignum,g__Lawsonibacter,positive,0.3036,0.001,0.3036
g__Anthropogastromicrobium,g__Faecalimonas,negative,-0.3022,0.001,0.3022
g__Anthropogastromicrobium,g__Fusicatenibacter,positive,0.3506,0.001,0.3506
g__Anthropogastromicrobium,g__Limivivens,positive,0.3112,0.001,0.3112
g__Anthropogastromicrobium,g__Roseburia,positive,0.3218,0.001,0.3218
g__Anthropogastromicrobium,g__Ruminococcus_B,negative,-0.3299,0.001,0.3299
g__Bacteroides,g__Enterocloster,positive,0.3081,0.001,0.3081
g__Bacteroides,g__Parabacteroides,positive,0.3371,0.001,0.3371
g__Bacteroides,g__Phocaeicola,positive,0.3472,0.001,0.3472
g__Bariatricus,g__Coprococcus_A,positive,0.3568,0.001,0.3568
g__Bariatricus,g__Dorea,positive,0.3755,0.001,0.3755
g__Bariatricus,g__Dorea_A,positive,0.3609,0.001,0.3609
g__Bariatricus,g__Eubacterium_I,positive,0.3268,0.001,0.3268
g__Bariatricus,g__Faecalimonas,negative,-0.3723,0.001,0.3723
g__Bariatricus,g__Gemmiger,positive,0.3818,0.001,0.3818
g__Bariatricus,g__Hominicoprocola,positive,0.3301,0.001,0.3301
g__Bariatricus,g__Hominiventricola,positive,0.3257,0.001,0.3257
g__Bariatricus,g__Hungatella,negative,-0.3326,0.001,0.3326
g__Bariatricus,g__Intestinibacter,negative,-0.3048,0.001,0.3048
g__Bariatricus,g__Limivivens,positive,0.339,0.001,0.339
g__Bariatricus,g__Ruminococcus_B,negative,-0.4017,0.001,0.4017
g__Bariatricus,g__Thomasclavelia,negative,-0.3705,0.001,0.3705
g__Blautia,g__Enterocloster,positive,0.3209,0.001,0.3209
g__Blautia,g__Faecalimonas,positive,0.4727,0.001,0.4727
g__Blautia,g__Flavonifractor,positive,0.3258,0.001,0.3258
g__Blautia,g__Gemmiger,negative,-0.3478,0.001,0.3478
g__Blautia,g__Ruminococcus_B,positive,0.3972,0.001,0.3972
g__Blautia,g__Thomasclavelia,positive,0.33,0.001,0.33
g__CAG-170,g__Roseburia_D,positive,0.3008,0.001,0.3008
g__Catenibacterium,g__Holdemanella,positive,0.304,0.001,0.304
g__Choladousia,g__Flavonifractor,negative,-0.3226,0.001,0.3226
g__Choladousia,g__Murimonas,positive,0.3211,0.001,0.3211
g__Clostridium,g__Intestinibacter,positive,0.374,0.001,0.374
g__Clostridium,g__Terrisporobacter,positive,0.3566,0.001,0.3566
g__Clostridium,g__Turicibacter,positive,0.3778,0.001,0.3778
g__Collinsella,g__Dorea,positive,0.3298,0.001,0.3298
g__Collinsella,g__Dorea_A,positive,0.3516,0.001,0.3516
g__Collinsella,g__Faecalibacterium,positive,0.3523,0.001,0.3523
g__Collinsella,g__Faecalimonas,negative,-0.305,0.001,0.305
g__Collinsella,g__Gemmiger,positive,0.3026,0.001,0.3026
g__Collinsella,g__Ruminococcus_B,negative,-0.307,0.001,0.307
g__Collinsella,g__Thomasclavelia,negative,-0.3354,0.001,0.3354
g__Coprococcus_A,g__Dorea,positive,0.4229,0.001,0.4229
g__Coprococcus_A,g__Dorea_A,positive,0.3605,0.001,0.3605
g__Coprococcus_A,g__Eubacterium_I,positive,0.3224,0.001,0.3224
g__Coprococcus_A,g__Faecalimonas,negative,-0.341,0.001,0.341
g__Coprococcus_A,g__Flavonifractor,negative,-0.3382,0.001,0.3382
g__Coprococcus_A,g__Gemmiger,positive,0.3676,0.001,0.3676
g__Coprococcus_A,g__Hominicoprocola,positive,0.3759,0.001,0.3759
g__Coprococcus_A,g__Limivivens,positive,0.3185,0.001,0.3185
g__Coprococcus_A,g__Murimonas,positive,0.3332,0.001,0.3332
g__Coprococcus_A,g__Oliverpabstia,positive,0.3486,0.001,0.3486
g__Coprococcus_A,g__Ruminococcus_B,negative,-0.4044,0.001,0.4044
g__Coprococcus_A,g__Sellimonas,negative,-0.3111,0.001,0.3111
g__Coprococcus_A,g__Thomasclavelia,negative,-0.3661,0.001,0.3661
g__Dialister,g__Phascolarctobacterium,negative,-0.3175,0.001,0.3175
g__Dorea,g__Dorea_A,positive,0.5331,0.001,0.5331
g__Dorea,g__Eubacterium_I,positive,0.3803,0.001,0.3803
g__Dorea,g__Faecalibacterium,positive,0.3543,0.001,0.3543
g__Dorea,g__Faecalimonas,negative,-0.3942,0.001,0.3942
g__Dorea,g__Gemmiger,positive,0.3867,0.001,0.3867
g__Dorea,g__Hungatella,negative,-0.3182,0.001,0.3182
g__Dorea,g__Oliverpabstia,positive,0.3767,0.001,0.3767
g__Dorea,g__Ruminococcus_B,negative,-0.3678,0.001,0.3678
g__Dorea,g__Sellimonas,negative,-0.3384,0.001,0.3384
g__Dorea,g__Thomasclavelia,negative,-0.3993,0.001,0.3993
g__Dorea_A,g__Eubacterium_I,positive,0.3773,0.001,0.3773
g__Dorea_A,g__Faecalibacterium,positive,0.3265,0.001,0.3265
g__Dorea_A,g__Faecalimonas,negative,-0.3785,0.001,0.3785
g__Dorea_A,g__Gemmiger,positive,0.4068,0.001,0.4068
g__Dorea_A,g__Hungatella,negative,-0.3082,0.001,0.3082
g__Dorea_A,g__Merdimonas,negative,-0.3031,0.001,0.3031
g__Dorea_A,g__Ruminococcus_B,negative,-0.3196,0.001,0.3196
g__Dorea_A,g__Thomasclavelia,negative,-0.3923,0.001,0.3923
g__Dysosmobacter,g__Eubacterium_G,positive,0.3288,0.001,0.3288
g__Dysosmobacter,g__Faecalibacterium,positive,0.3318,0.001,0.3318
g__Dysosmobacter,g__Lawsonibacter,positive,0.4465,0.001,0.4465
g__Dysosmobacter,g__Parabacteroides,positive,0.3428,0.001,0.3428
g__Dysosmobacter,g__Veillonella,negative,-0.3135,0.001,0.3135
g__Eggerthella,g__Ruminococcus_B,positive,0.3108,0.001,0.3108
g__Enterobacter,g__Klebsiella,positive,0.5997,0.001,0.5997
g__Enterobacter,g__Veillonella,positive,0.3201,0.001,0.3201
g__Enterocloster,g__Faecalimonas,positive,0.3838,0.001,0.3838
g__Enterocloster,g__Flavonifractor,positive,0.3939,0.001,0.3939
g__Enterocloster,g__Otoolea,positive,0.3882,0.001,0.3882
g__Enterocloster,g__Ruminococcus_B,positive,0.435,0.001,0.435
g__Enterocloster,g__Thomasclavelia,positive,0.3663,0.001,0.3663
g__Enterococcus,g__Enterococcus_A,positive,0.333,0.001,0.333
g__Enterococcus,g__Enterococcus_B,positive,0.3938,0.001,0.3938
g__Enterococcus,g__Faecalibacterium,negative,-0.3362,0.001,0.3362
g__Enterococcus,g__Lacticaseibacillus,positive,0.3639,0.001,0.3639
g__Enterococcus,g__Veillonella,positive,0.3019,0.001,0.3019
g__Enterococcus_A,g__Enterococcus_B,positive,0.3482,0.001,0.3482
g__Enterococcus_A,g__Faecalibacterium,negative,-0.309,0.001,0.309
g__Enterococcus_A,g__Gemmiger,negative,-0.3116,0.001,0.3116
g__Enterococcus_A,g__Klebsiella,positive,0.3024,0.001,0.3024
g__Enterococcus_A,g__Lacticaseibacillus,positive,0.3485,0.001,0.3485
g__Enterococcus_A,g__Mediterraneibacter,negative,-0.3037,0.001,0.3037
g__Enterococcus_A,g__Ruminococcus_B,positive,0.3445,0.001,0.3445
g__Enterococcus_A,g__Thomasclavelia,positive,0.3466,0.001,0.3466
g__Enterococcus_A,g__Veillonella,positive,0.3338,0.001,0.3338
g__Enterococcus_B,g__Faecalibacterium,negative,-0.3034,0.001,0.3034
g__Enterococcus_B,g__Granulicatella,positive,0.321,0.001,0.321
g__Enterococcus_B,g__Lacticaseibacillus,positive,0.3695,0.001,0.3695
g__Enterococcus_B,g__Lactiplantibacillus,positive,0.3379,0.001,0.3379
g__Enterococcus_B,g__Mediterraneibacter,negative,-0.333,0.001,0.333
g__Enterococcus_B,g__Veillonella,positive,0.3044,0.001,0.3044
g__Eubacterium_I,g__Faecalimonas,negative,-0.305,0.001,0.305
g__Eubacterium_I,g__Gemmiger,positive,0.3128,0.001,0.3128
g__Eubacterium_I,g__Hominicoprocola,positive,0.3703,0.001,0.3703
g__Eubacterium_I,g__Limivivens,positive,0.3673,0.001,0.3673
g__Eubacterium_I,g__Ruminococcus_B,negative,-0.3392,0.001,0.3392
g__Eubacterium_I,g__Thomasclavelia,negative,-0.3704,0.001,0.3704
g__Evtepia,g__Lentihominibacter,positive,0.3188,0.001,0.3188
g__Faecalibacterium,g__Faecalimonas,negative,-0.3974,0.001,0.3974
g__Faecalibacterium,g__Fusicatenibacter,positive,0.3109,0.001,0.3109
g__Faecalibacterium,g__Gemmiger,positive,0.3877,0.001,0.3877
g__Faecalibacterium,g__Mediterraneibacter,positive,0.328,0.001,0.328
g__Faecalibacterium,g__Ruminococcus_B,negative,-0.3334,0.001,0.3334
g__Faecalibacterium,g__Thomasclavelia,negative,-0.3353,0.001,0.3353
g__Faecalimonas,g__Flavonifractor,positive,0.357,0.001,0.357
g__Faecalimonas,g__Fusobacterium_A,positive,0.3474,0.001,0.3474
g__Faecalimonas,g__Gemmiger,negative,-0.4575,0.001,0.4575
g__Faecalimonas,g__Hominicoprocola,negative,-0.348,0.001,0.348
g__Faecalimonas,g__Hungatella,positive,0.3888,0.001,0.3888
g__Faecalimonas,g__Limivivens,negative,-0.3569,0.001,0.3569
g__Faecalimonas,g__Nanosynbacter,positive,0.3368,0.001,0.3368
g__Faecalimonas,g__Ruminococcus_B,positive,0.6243,0.001,0.6243
g__Faecalimonas,g__Thomasclavelia,positive,0.5285,0.001,0.5285
g__Faecalimonas,g__Veillonella,positive,0.3475,0.001,0.3475
g__Flavonifractor,g__Hominicoprocola,negative,-0.3138,0.001,0.3138
g__Flavonifractor,g__Hungatella,positive,0.4382,0.001,0.4382
g__Flavonifractor,g__Ruminococcus_B,positive,0.4838,0.001,0.4838
g__Flavonifractor,g__Ruthenibacterium,positive,0.3624,0.001,0.3624
g__Flavonifractor,g__Thomasclavelia,positive,0.4568,0.001,0.4568
g__Fusicatenibacter,g__Gemmiger,positive,0.3529,0.001,0.3529
g__Fusicatenibacter,g__Hominilimicola,positive,0.3443,0.001,0.3443
g__Fusicatenibacter,g__Lacticaseibacillus,negative,-0.3425,0.001,0.3425
g__Fusicatenibacter,g__Limosilactobacillus,negative,-0.3124,0.001,0.3124
g__Fusicatenibacter,g__Mediterraneibacter,positive,0.3466,0.001,0.3466
g__Fusicatenibacter,g__Roseburia,positive,0.3278,0.001,0.3278
g__Fusobacterium_A,g__Ruminococcus_B,positive,0.3499,0.001,0.3499
g__Fusobacterium_A,g__Thomasclavelia,positive,0.3125,0.001,0.3125
g__Gallintestinimicrobium,g__Gemmiger,positive,0.3153,0.001,0.3153
g__Gemella,g__Granulicatella,positive,0.4943,0.001,0.4943
g__Gemella,g__Lacticaseibacillus,positive,0.3155,0.001,0.3155
g__Gemella,g__Rothia,positive,0.374,0.001,0.374
g__Gemella,g__Ruminococcus_B,positive,0.3147,0.001,0.3147
g__Gemella,g__Streptococcus,positive,0.4133,0.001,0.4133
g__Gemmiger,g__Hominicoprocola,positive,0.3277,0.001,0.3277
g__Gemmiger,g__Hominilimicola,positive,0.3584,0.001,0.3584
g__Gemmiger,g__Hominiventricola,positive,0.32,0.001,0.32
g__Gemmiger,g__Hungatella,negative,-0.3165,0.001,0.3165
g__Gemmiger,g__Limivivens,positive,0.3327,0.001,0.3327
g__Gemmiger,g__Mediterraneibacter,positive,0.3091,0.001,0.3091
g__Gemmiger,g__Pediococcus,negative,-0.3041,0.001,0.3041
g__Gemmiger,g__Ruminococcus_B,negative,-0.4649,0.001,0.4649
g__Gemmiger,g__Thomasclavelia,negative,-0.4205,0.001,0.4205
g__Gemmiger,g__Veillonella,negative,-0.3208,0.001,0.3208
g__Granulicatella,g__Lacticaseibacillus,positive,0.3249,0.001,0.3249
g__Granulicatella,g__Peptostreptococcus,positive,0.3228,0.001,0.3228
g__Granulicatella,g__Rothia,positive,0.4282,0.001,0.4282
g__Granulicatella,g__Streptococcus,positive,0.4863,0.001,0.4863
g__Granulicatella,g__Veillonella,positive,0.3369,0.001,0.3369
g__Haemophilus_D,g__Nanosynbacter,positive,0.4175,0.001,0.4175
g__Haemophilus_D,g__Rothia,positive,0.3323,0.001,0.3323
g__Haemophilus_D,g__Sarcina,positive,0.3008,0.001,0.3008
g__Haemophilus_D,g__Streptococcus,positive,0.4164,0.001,0.4164
g__Haemophilus_D,g__Veillonella,positive,0.5419,0.001,0.5419
g__Holdemanella,g__Prevotella,positive,0.3013,0.001,0.3013
g__Hominicoprocola,g__Hominiventricola,positive,0.3471,0.001,0.3471
g__Hominicoprocola,g__Lentihominibacter,positive,0.311,0.001,0.311
g__Hominicoprocola,g__Limivivens,positive,0.3547,0.001,0.3547
g__Hominicoprocola,g__Murimonas,positive,0.3738,0.001,0.3738
g__Hominicoprocola,g__Onthenecus,positive,0.3053,0.001,0.3053
g__Hominicoprocola,g__Ruminococcus_B,negative,-0.4615,0.001,0.4615
g__Hominicoprocola,g__Thomasclavelia,negative,-0.3341,0.001,0.3341
g__Hominiventricola,g__Ruminococcus_B,negative,-0.3141,0.001,0.3141
g__Hungatella,g__Ruminococcus_B,positive,0.4137,0.001,0.4137
g__Hungatella,g__Thomasclavelia,positive,0.4281,0.001,0.4281
g__Intestinibacter,g__Ruminococcus_B,positive,0.3349,0.001,0.3349
g__Intestinibacter,g__Sarcina,positive,0.3006,0.001,0.3006
g__Intestinibacter,g__Terrisporobacter,positive,0.302,0.001,0.302
g__Intestinibacter,g__Thomasclavelia,positive,0.3901,0.001,0.3901
g__Intestinibacter,g__Turicibacter,positive,0.3222,0.001,0.3222
g__Intestinibacter,g__Veillonella,positive,0.3031,0.001,0.3031
g__Klebsiella,g__Veillonella,positive,0.326,0.001,0.326
g__Lachnospira,g__Roseburia,positive,0.3379,0.001,0.3379
g__Lacticaseibacillus,g__Lactiplantibacillus,positive,0.3747,0.001,0.3747
g__Lacticaseibacillus,g__Lactobacillus,positive,0.3793,0.001,0.3793
g__Lacticaseibacillus,g__Limosilactobacillus,positive,0.4435,0.001,0.4435
g__Lacticaseibacillus,g__Mediterraneibacter,negative,-0.3056,0.001,0.3056
g__Lacticaseibacillus,g__Nanosynbacter,positive,0.3429,0.001,0.3429
g__Lacticaseibacillus,g__Pediococcus,positive,0.3858,0.001,0.3858
g__Lacticaseibacillus,g__Phocaeicola,negative,-0.316,0.001,0.316
g__Lacticaseibacillus,g__Rothia,positive,0.3106,0.001,0.3106
g__Lacticaseibacillus,g__Streptococcus,positive,0.3568,0.001,0.3568
g__Lacticaseibacillus,g__Veillonella,positive,0.3296,0.001,0.3296
g__Lactiplantibacillus,g__Pediococcus,positive,0.3046,0.001,0.3046
g__Lactobacillus,g__Ligilactobacillus,positive,0.3098,0.001,0.3098
g__Lactobacillus,g__Limosilactobacillus,positive,0.4357,0.001,0.4357
g__Lancefieldella,g__Nanosynbacter,positive,0.3539,0.001,0.3539
g__Lancefieldella,g__Ruminococcus_B,positive,0.3075,0.001,0.3075
g__Lancefieldella,g__Veillonella,positive,0.3377,0.001,0.3377
g__Latilactobacillus,g__Leuconostoc,positive,0.3575,0.001,0.3575
g__Latilactobacillus,g__Weissella,positive,0.3857,0.001,0.3857
g__Leuconostoc,g__Mediterraneibacter,negative,-0.3031,0.001,0.3031
g__Leuconostoc,g__Weissella,positive,0.3851,0.001,0.3851
g__Ligilactobacillus,g__Limosilactobacillus,positive,0.3327,0.001,0.3327
g__Limivivens,g__Murimonas,positive,0.3503,0.001,0.3503
g__Limivivens,g__Ruminococcus_B,negative,-0.4349,0.001,0.4349
g__Limivivens,g__Thomasclavelia,negative,-0.3663,0.001,0.3663
g__Limosilactobacillus,g__Nanosynbacter,positive,0.3525,0.001,0.3525
g__Limosilactobacillus,g__Streptococcus,positive,0.3578,0.001,0.3578
g__Limosilactobacillus,g__Veillonella,positive,0.3374,0.001,0.3374
g__Longicatena,g__Ruminococcus_B,positive,0.3135,0.001,0.3135
g__Megamonas,g__URXU01,positive,0.5481,0.001,0.5481
g__Murimonas,g__Ruminococcus_B,negative,-0.3207,0.001,0.3207
g__Nanosynbacter,g__Ruminococcus_B,positive,0.3346,0.001,0.3346
g__Nanosynbacter,g__Sarcina,positive,0.3537,0.001,0.3537
g__Nanosynbacter,g__Streptococcus,positive,0.4397,0.001,0.4397
g__Nanosynbacter,g__Veillonella,positive,0.5586,0.001,0.5586
g__Odoribacter,g__Thomasclavelia,negative,-0.3553,0.001,0.3553
g__Oliverpabstia,g__Ruminococcus_B,negative,-0.3456,0.001,0.3456
g__Oliverpabstia,g__Thomasclavelia,negative,-0.3199,0.001,0.3199
g__Parabacteroides,g__Phocaeicola,positive,0.3645,0.001,0.3645
g__Pediococcus,g__Ruminococcus_B,positive,0.3241,0.001,0.3241
g__Rothia,g__Streptococcus,positive,0.4608,0.001,0.4608
g__Rothia,g__Veillonella,positive,0.324,0.001,0.324
g__Ruminococcus_B,g__Thomasclavelia,positive,0.6258,0.001,0.6258
g__Ruminococcus_B,g__Veillonella,positive,0.3796,0.001,0.3796
g__Sarcina,g__Veillonella,positive,0.3955,0.001,0.3955
g__Streptococcus,g__Veillonella,positive,0.48,0.001,0.48
g__Terrisporobacter,g__Turicibacter,positive,0.4055,0.001,0.4055
g__Thomasclavelia,g__Veillonella,positive,0.3753,0.001,0.3753
