Source,Target,Interaction,Correlation,P_value,Abs_Correlation
g__Flavonifractor,g__Ruminococcus_B,positive,0.3379,0.001,0.3379
g__Flavonifractor,g__Ruthenibacterium,positive,0.3834,0.001,0.3834
g__Flavonifractor,g__Thomasclavelia,positive,0.3695,0.001,0.3695
g__Fusicatenibacter,g__Hominilimicola,positive,0.3352,0.001,0.3352
g__Gemella,g__Ruminococcus_B,positive,0.3103,0.001,0.3103
g__Gemmiger,g__Hominiventricola,positive,0.3129,0.001,0.3129
g__Gemmiger,g__Ruminococcus_B,negative,-0.3438,0.001,0.3438
g__Gemmiger,g__Thomasclavelia,negative,-0.3531,0.001,0.3531
g__Granulicatella,g__Streptococcus,positive,0.3662,0.001,0.3662
g__Granulicatella,g__Veillonella,positive,0.3226,0.001,0.3226
g__Haemophilus_D,g__Streptococcus,positive,0.3034,0.001,0.3034
g__Haemophilus_D,g__Veillonella,positive,0.4158,0.001,0.4158
g__Hominicoprocola,g__Limivivens,positive,0.3146,0.001,0.3146
g__Hominicoprocola,g__Ruminococcus_B,negative,-0.343,0.001,0.343
g__Hungatella,g__Ruminococcus_B,positive,0.3217,0.001,0.3217
g__Hungatella,g__Thomasclavelia,positive,0.422,0.001,0.422
g__Klebsiella,g__Veillonella,positive,0.3101,0.001,0.3101
g__Lancefieldella,g__Veillonella,positive,0.3017,0.001,0.3017
g__Lawsonibacter,g__Parabacteroides,positive,0.3053,0.001,0.3053
g__Lawsonibacter,g__Ruthenibacterium,positive,0.3376,0.001,0.3376
g__Leuconostoc,g__Weissella,positive,0.3234,0.001,0.3234
g__Limivivens,g__Ruminococcus_B,negative,-0.3972,0.001,0.3972
g__Limivivens,g__Thomasclavelia,negative,-0.3107,0.001,0.3107
g__Megamonas,g__URXU01,positive,0.5781,0.001,0.5781
g__Nanosynbacter,g__Streptococcus,positive,0.4289,0.001,0.4289
g__Nanosynbacter,g__Veillonella,positive,0.4909,0.001,0.4909
g__Odoribacter,g__Thomasclavelia,negative,-0.4858,0.001,0.4858
g__Rothia,g__Streptococcus,positive,0.3249,0.001,0.3249
g__Ruminococcus_B,g__Streptococcus,positive,0.3203,0.001,0.3203
g__Ruminococcus_B,g__Thomasclavelia,positive,0.5921,0.001,0.5921
g__Ruminococcus_B,g__Veillonella,positive,0.3227,0.001,0.3227
g__Ruthenibacterium,g__Sellimonas,positive,0.3228,0.001,0.3228
g__Streptococcus,g__Veillonella,positive,0.4436,0.001,0.4436
g__Terrisporobacter,g__Turicibacter,positive,0.3146,0.001,0.3146
g__Thomasclavelia,g__Veillonella,positive,0.3756,0.001,0.3756
